,Ticker,2023-12-31,2023-11-30,2023-10-31,2023-09-30,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-30,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-31,2022-06-30,2022-05-31,2022-04-30,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-31,2021-09-30,2021-08-31,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29
38,GOOG,69495000000.0,,,,,,,,,,,,60010000000.0,,,,,,,,,,,,67012000000.0,,,,,,,,,,,,42843000000.0,,,,,,,,,,
39,AMZN,32217000000.0,,,,,,,,,,,,-16893000000.0,,,,,,,,,,,,-14726000000.0,,,,,,,,,,,,25924000000.0,,,,,,,,,,
40,AAL,,,,,,,,,,,,,-733000000.0,,,,,,,,,,,,292000000.0,,,,,,,,,,,,-8674000000.0,,,,,,,,,,
41,AMGN,,,,,,,,,,,,,8785000000.0,,,,,,,,,,,,8381000000.0,,,,,,,,,,,,9889000000.0,,,,,,,,,,
42,ADI,,,3556171000.0,,,,,,,,,,,,3776094000.0,,,,,,,,,,,,2391393000.0,,,,,,,,,,,,1842795000.0,,,,,,,,
43,AMAT,,,7594000000.0,,,,,,,,,,,,4612000000.0,,,,,,,,,,,,4774000000.0,,,,,,,,,,,,3382000000.0,,,,,,,,
44,ADSK,,,,,,,,,,,,2025000000.0,,,,,,,,,,,,1464000000.0,,,,,,,,,,,,1341000000.0,,,,,,,,,,,
45,ADP,,,,,,,3636000000.0,,,,,,,,,,,,2546100000.0,,,,,,,,,,,,2587400000.0,,,,,,,,,,,,2409800000.0,,,,
46,BIIB,,,,,,,,,,,,,1141100000.0,,,,,,,,,,,,3345000000.0,,,,,,,,,,,,3678000000.0,,,,,,,,,,
47,CHTR,3490000000.0,,,,,,,,,,,,6102000000.0,,,,,,,,,,,,8684000000.0,,,,,,,,,,,,6606000000.0,,,,,,,,,,
48,CTSH,,,,,,,,,,,,,2236000000.0,,,,,,,,,,,,2216000000.0,,,,,,,,,,,,2901000000.0,,,,,,,,,,
49,CMCSA,12961000000.0,,,,,,,,,,,,12646000000.0,,,,,,,,,,,,17089000000.0,,,,,,,,,,,,13103000000.0,,,,,,,,,,
50,COST,,,,,6745000000.0,,,,,,,,,,,,3501000000.0,,,,,,,,,,,,5370000000.0,,,,,,,,,,,,6051000000.0,,,,,,
51,CSX,,,,,,,,,,,,,3486000000.0,,,,,,,,,,,,3308000000.0,,,,,,,,,,,,2637000000.0,,,,,,,,,,
52,XRAY,,,,,,,,,,,,,368000000.0,,,,,,,,,,,,515000000.0,,,,,,,,,,,,562000000.0,,,,,,,,,,
53,DISH,,,,,,,,,,,,,-7826376000.0,,,,,,,,,,,,1945067000.0,,,,,,,,,,,,731728000.0,,,,,,,,,,
54,DLTR,,,,,,,,,,,,361000000.0,,,,,,,,,,,,408700000.0,,,,,,,,,,,,1817500000.0,,,,,,,,,,,
55,EBAY,,,,,,,,,,,,,1805000000.0,,,,,,,,,,,,2213000000.0,,,,,,,,,,,,1956000000.0,,,,,,,,,,
56,EA,,,,,,,,,,1343000000.0,,,,,,,,,,,,1711000000.0,,,,,,,,,,,,1810000000.0,,,,,,,,,,,,1657000000.0,
57,EXPE,,,,,,,,,,,,,2778000000.0,,,,,,,,,,,,3075000000.0,,,,,,,,,,,,-4631000000.0,,,,,,,,,,
58,FAST,1259900000.0,,,,,,,,,,,,767200000.0,,,,,,,,,,,,613500000.0,,,,,,,,,,,,933700000.0,,,,,,,,,,
59,GILD,,,,,,,,,,,,,8344000000.0,,,,,,,,,,,,10805000000.0,,,,,,,,,,,,7518000000.0,,,,,,,,,,
60,HSIC,,,,,,,,,,,,,506000000.0,,,,,,,,,,,,631000000.0,,,,,,,,,,,,550081000.0,,,,,,,,,,
61,ILMN,,,,,,,,,,,,,-74000000.0,,,,,,,,,,,,337000000.0,,,,,,,,,,,,891000000.0,,,,,,,,,,
62,INCY,,,,,,,,,,,,,892108000.0,,,,,,,,,,,,568482000.0,,,,,,,,,,,,-311978000.0,,,,,,,,,,
63,INTU,,,,,,4786000000.0,,,,,,,,,,,,3660000000.0,,,,,,,,,,,,3125000000.0,,,,,,,,,,,,2277000000.0,,,,,
64,ISRG,749600000.0,,,,,,,,,,,,958400000.0,,,,,,,,,,,,1749900000.0,,,,,,,,,,,,1143300000.0,,,,,,,,,,
65,KHC,,,,,,,,,,,,,1553000000.0,,,,,,,,,,,,4459000000.0,,,,,,,,,,,,4333000000.0,,,,,,,,,,
66,LRCX,,,,,,,4677370000.0,,,,,,,,,,,,2553640000.0,,,,,,,,,,,,3239067000.0,,,,,,,,,,,,1923212000.0,,,,
67,MAR,,,,,,,,,,,,,2031000000.0,,,,,,,,,,,,994000000.0,,,,,,,,,,,,1504000000.0,,,,,,,,,,
68,MCHP,,,,,,,,,,3134800000.0,,,,,,,,,,,,2472600000.0,,,,,,,,,,,,1823900000.0,,,,,,,,,,,,1476200000.0,
69,MU,,,,,-6117000000.0,,,,,,,,,,,,3114000000.0,,,,,,,,,,,,2438000000.0,,,,,,,,,,,,83000000.0,,,,,,
70,MDLZ,3602000000.0,,,,,,,,,,,,3002000000.0,,,,,,,,,,,,3176000000.0,,,,,,,,,,,,3101000000.0,,,,,,,,,,
71,MNST,,,,,,,,,,,,,675546000.0,,,,,,,,,,,,1098288000.0,,,,,,,,,,,,1296891000.0,,,,,,,,,,
72,NTAP,,,,,,,,,868000000.0,,,,,,,,,,,,985000000.0,,,,,,,,,,,,1171000000.0,,,,,,,,,,,,936000000.0,,
73,NFLX,6925749000.0,,,,,,,,,,,,1618528000.0,,,,,,,,,,,,-131975000.0,,,,,,,,,,,,1929154000.0,,,,,,,,,,
74,NVDA,,,,,,,,,,,,3808000000.0,,,,,,,,,,,,8132000000.0,,,,,,,,,,,,4694000000.0,,,,,,,,,,,
75,NXPI,,,,,,,,,,,,,2668000000.0,,,,,,,,,,,,2145000000.0,,,,,,,,,,,,1960000000.0,,,,,,,,,,
76,ORLY,,,,,,,,,,,,,2584908000.0,,,,,,,,,,,,2764457000.0,,,,,,,,,,,,2371024000.0,,,,,,,,,,
77,PCAR,,,,,,,,,,,,,1636500000.0,,,,,,,,,,,,553900000.0,,,,,,,,,,,,1348800000.0,,,,,,,,,,
78,PAYX,,,,,,,,1556400000.0,,,,,,,,,,,,1371700000.0,,,,,,,,,,,,1141900000.0,,,,,,,,,,,,1313900000.0,,,
79,PYPL,4220000000.0,,,,,,,,,,,,5107000000.0,,,,,,,,,,,,4889000000.0,,,,,,,,,,,,5353000000.0,,,,,,,,,,
80,QCOM,,,,9849000000.0,,,,,,,,,,,,6834000000.0,,,,,,,,,,,,8648000000.0,,,,,,,,,,,,4407000000.0,,,,,,,
